owner_repo,last_commit_date,num_authors,num_committers,num_domains,time_to_commit_hours,num_changed,num_issue_authors,num_issue_domains,time_to_first_attention,last_created_issue_date,last_updated_issue_date,last_created_pr_date,last_updated_pr_date,age,num_lines,num_commits,num_files,num_core,num_regular,num_casual,size,num_stars,num_forks,num_subscribers,num_total_open_issues,num_closed_issue,time_closed_issue,num_closed_pr,time_closed_pr,num_open_issue,time_open_issue,num_open_pr,time_open_pr,info
bitcraze/crazyflie-firmware,13355,628,100,628,Organization,False,1558,17,27,56,,9,2,69,322,21,22,2,196,2,17,2642,9,110,32062,8732,0,0,46,8,
libav/libav,88763,791,79,350,Organization,False,45232,9,116,495,,0,0,,,,,7,27,1,0,7101,0,0,0,0,0,0,3,4,
commonmark/cmark,4681,982,46,332,Organization,False,2444,6,34,74,,7,0,25,154,7,8,6,153,0,12,2152,5,80,1276,752,0,0,5,1,
seemoo-lab/nexmon,370754,1433,127,311,Organization,False,818,4,8,19,,13,0,204,132,24,20,18,54,4,2,1326,3,13,20205,45,0,0,47,6,
openbsd/src,1109776,1511,134,430,Organization,False,205937,1,0,80,,7,0,,,,,0,16,0,2,8326,53,2987,1811052,1227120,0,0,4,2,
kaltura/nginx-vod-module,3985,1144,124,284,Organization,False,1283,9,31,18,,7,0,100,542,23,32,8,498,2,12,2159,3,19,1012,307,0,0,324,4,
checkpoint-restore/criu,17418,1111,73,262,Organization,False,10242,9,60,94,,33,3,283,488,41,47,33,297,25,109,3188,17,151,4658,1387,0,0,4,12,
strongswan/strongswan,93363,955,100,443,Organization,False,17477,87,218,75,,0,0,,,,,13,160,1,11,5337,5,165,11177,3252,0,0,8,1,
buserror/simavr,4564,991,75,249,User,False,952,4,18,66,,7,0,59,93,11,4,22,208,4,8,3853,6,7,46,20,0,0,26,,114
gpac/gpac,118170,994,87,309,Organization,False,9800,7,7,44,,17,1,97,1084,48,77,5,320,1,15,5435,6,88,1167,491,0,0,22,,
gnab/rtl8812au,2059,1057,99,395,User,False,138,1,0,50,,6,0,101,30,6,3,1,61,0,6,2397,5,5,12,6,0,0,29,,182
pgbouncer/pgbouncer,2826,1072,65,259,Organization,False,1217,3,54,37,,9,0,108,224,22,11,39,119,7,5,4840,4,43,3181,2563,0,0,2,,
coreutils/coreutils,37867,1630,91,432,Organization,False,29052,6,365,161,,6,0,2,13,1,2,1,16,1,1,10090,11,58,2367,1454,0,0,3,2,
GNOME/glib,97146,866,75,364,Organization,False,21815,302,478,609,,6,0,,,,,0,32,0,1,8039,32,252,19159,13964,0,0,393,2,
OP-TEE/optee_os,21998,785,149,566,Organization,False,3787,10,41,125,,10,1,22,1633,22,163,15,2256,15,258,2201,30,374,48602,27022,0,0,8,,
FRRouting/frr,73343,1370,170,563,Organization,False,19894,20,50,223,,65,7,371,1266,100,104,87,4825,75,741,4805,41,1030,84954,33651,0,0,6,25,
lanoxx/tilda,3821,904,40,139,User,False,592,14,34,45,,14,2,90,229,9,11,9,94,1,1,2915,2,37,6629,6322,0,0,26,,36
yasm/yasm,27906,854,78,215,Organization,False,2159,23,21,21,,7,0,85,18,1,1,17,25,4,1,6975,4,4,37,392,0,0,5,1,
TheOfficialFloW/VitaShell,52239,941,134,177,User,False,996,1,52,85,,14,0,66,337,8,3,0,163,0,12,1606,9,15,756,548,0,0,20,,1
emsec/ChameleonMini,9716,947,127,248,Organization,False,332,2,1,25,,7,0,48,148,10,4,11,56,2,4,2362,3,7,6871,2838,0,0,12,2,
NurKeinNeid/dharma_kernel_nextbit_msm8992,647254,0,1,0,User,False,435328,3,4,4749,,8,0,,,,,0,0,0,0,6639,0,0,0,0,0,0,60,,23
netsniff-ng/netsniff-ng,3063,833,100,204,Organization,False,1328,2,22,40,,7,0,40,92,2,1,4,85,0,5,2649,4,11,28,12,0,0,2,,
LILIDD/FFmpeg,131268,0,1,0,User,False,67391,2,0,619,,7,0,,,,,0,0,0,0,7101,0,0,0,0,0,0,130,,30
corosync/corosync,21882,812,96,172,Organization,False,4144,37,84,66,,3,0,33,153,8,6,11,362,4,27,5463,5,27,1090,750,0,0,5,3,
nexjhealth/x264,4847,0,1,0,User,False,2762,1,0,93,,7,0,0,0,0,0,0,0,0,0,5190,0,0,0,0,0,0,24,,3
MZO9400/android_device_oneplus_bacon-Minimal,8513,0,1,0,User,False,391,6,0,36,,7,0,0,0,0,0,0,0,0,0,2292,0,0,0,0,0,0,100,,32
rootmelo92118/SoftEtherVPN_Stable,356640,0,0,0,User,False,187,1,5,30,,8,0,0,0,0,0,0,0,0,0,2355,0,0,0,0,0,0,75,,80
SamyPesse/How-to-Make-a-Computer-Operating-System,5986,18791,1671,3267,User,False,243,1,12,34,,6,1,38,25,1,0,37,54,1,0,2390,0,0,0,0,0,0,86,,2
antirez/disque,2493,7665,444,528,User,False,602,1,1,53,,11,1,42,64,0,0,18,92,1,0,2047,0,0,0,0,0,0,63,,14
axxx007xxxz/android_hardware_qcom_audio,2169,0,1,0,User,False,1330,1,0,30,,8,0,0,0,0,0,0,0,0,0,2901,0,0,0,0,0,0,107,,6
tizenorg/platform.upstream.libva-intel-driver,4565,0,2,0,Organization,False,1308,32,126,22,,7,0,0,0,0,0,0,0,0,0,3972,0,0,0,0,0,0,1,,
fogleman/Craft,14647,7925,371,1014,User,False,751,16,1,9,,6,0,65,75,5,1,38,84,9,10,2621,1,1,2,2,0,0,131,,4
furthestworld/-pecl-php-memcache,298,0,1,0,Organization,False,221,1,0,10,,7,0,0,0,0,0,0,0,0,0,5967,0,0,0,0,0,0,13,,
ZdrowyGosciu/caf_device,994,0,0,0,User,False,1612,1,0,13,,7,0,,,,,0,0,0,0,3447,0,0,0,0,0,0,27,,19
michaelarmstrong/mongoose,692,0,0,0,User,False,279,1,0,3,,17,0,32,383,0,0,0,0,0,0,3692,0,0,0,0,0,0,30,,28
lyzsh/apv,64458,0,0,0,User,False,300,2,1,5,,16,0,116,55,0,0,0,0,0,0,4413,0,0,0,0,0,0,2,,0
bluelinkgaming/nintendon-t,58570,0,0,0,User,False,329,2,0,3,,12,0,133,64,0,0,0,0,0,0,2236,0,0,0,0,0,0,1,,0
macks22/comdetect,480,1,3,1,User,False,97,2,0,2,,7,0,4,8,0,0,0,0,0,0,1956,0,0,0,0,0,0,41,,28
TurokMods/T4Editor,3449,2,2,0,Organization,False,113,5,0,2,,8,0,27,1,0,0,0,5,0,0,983,0,0,0,0,0,0,2,,
michaelsvit/FIAR,48,0,2,0,User,False,82,1,0,2,,7,0,0,0,0,0,0,7,0,0,1116,0,0,0,0,0,0,13,,1
dasfoo/rpi-gpio,6,1,2,0,Organization,False,16,1,1,2,,7,0,0,0,0,0,0,7,0,0,1627,0,0,0,0,0,0,17,2,
ahmadfahmip/syntax-validator-tbfo,56,3,1,3,User,False,31,1,0,2,,8,0,0,0,0,0,0,2,0,0,934,0,0,0,0,0,0,35,,27
JamesH65/GertMatrix,120,0,2,2,User,False,5,1,0,2,,6,0,0,0,0,0,0,1,0,0,2376,0,0,0,0,0,0,21,,39
Cisteaux/gimp-dds,1662,0,0,0,User,False,190,5,16,1,,13,0,19,24,0,0,0,0,0,0,3692,0,0,0,0,0,0,2,,0
zishuiym/vim,43812,0,0,0,User,False,6781,4,3435,1,,15,0,77,188,0,0,0,0,0,0,3685,0,0,0,0,0,0,22,,0
dlopez890/skipfish,352,0,0,0,User,False,9,2,0,1,,18,0,39,178,0,0,0,0,0,0,2950,0,0,0,0,0,0,2,,0
XPila/HW,80,0,1,0,User,False,44,1,0,1,,7,0,3,1,0,0,0,0,0,0,1662,0,0,0,0,0,0,20,,1
tluyben/php-for-android,1672,0,0,0,User,False,8,1,1,1,,12,0,14,4,0,0,0,0,0,0,3608,0,0,0,0,0,0,148,,25
stefanesser/opensource_taig,168,129,44,33,User,False,20,1,0,1,,7,0,1,0,0,0,0,2,0,0,1816,0,0,0,0,0,0,13,,979
id-Software/Quake-III-Arena,3576,4844,307,1392,Organization,False,1,1,0,1,,0,0,,,,,1,1,0,0,3055,0,0,0,0,0,0,18,,
DeXP/xkb-switch-win,196,15,1,1,User,False,16,1,1,1,,6,0,0,1,0,0,0,0,0,0,2628,0,0,0,0,0,0,30,,26
j4cobgarby/raytracer,12521,0,1,1,User,False,29,1,0,1,,9,0,4,0,0,0,0,0,0,0,822,0,0,0,0,0,0,86,,13
enchev/ios-ng2-tns,24996,5,0,0,User,False,2,1,0,1,,7,0,1,0,0,0,0,0,0,0,1291,0,0,0,0,0,0,10,,58
janiex/TheRQMProject,127,0,1,0,User,False,2,1,0,1,,7,0,1,0,0,0,0,0,0,0,1130,0,0,0,0,0,0,9,,6
c0untd0wn/pintos,492,0,1,0,User,False,2,2,0,1,,7,0,1,0,0,0,0,0,0,0,2145,0,0,0,0,0,0,25,,19
Estwald/PSDK3v2,333582,26,7,20,User,False,17,1,0,1,,6,0,1,0,1,0,0,0,0,0,2677,0,0,0,0,0,0,5,,30
LSayhi/book-paper-note,591903,50,6,19,User,False,27,1,0,1,,8,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,0,18,,28
Jesse-V/RLAGS-USU,343053,2,3,0,User,False,104,1,0,2,,7,0,0,0,0,0,0,0,0,0,2208,0,0,0,0,0,0,35,,56
yubaoliu/Library,1623614,0,1,0,User,False,3,1,0,1,,8,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,102,,10
stijnmeul/thesis,358681,1,2,0,User,False,157,1,0,1,,6,0,0,0,0,0,0,0,0,0,2306,0,0,0,0,0,0,4,,1
AdnanHaiderAD/MSc-Dissertation,2070000,0,1,0,User,False,258,1,0,1,,6,0,0,0,0,0,0,0,0,0,2628,0,0,0,0,0,0,19,,2
clhne/mybook,696858,1,1,0,User,False,22,1,0,2,,8,0,0,0,0,0,0,0,0,0,941,0,0,0,0,0,0,805,,39
Gloader/Laboratory,455256,0,1,0,User,False,18,1,0,1,,6,0,0,0,0,0,0,0,0,0,2341,0,0,0,0,0,0,4,,0
lisider/my_book,536042,22,5,20,User,False,8,1,0,1,,8,0,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,50,,4
lianhongHou/books,1521857,0,1,0,User,False,26,1,0,1,,7,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,12,,0
yjjing/ebooks,1567469,0,1,0,User,False,40,1,0,1,,7,0,0,0,0,0,0,0,0,0,1627,0,0,0,0,0,0,4,,0
piaoshuai/DVD_BOOK,1917856,2,1,1,User,False,2,1,0,2,,6,0,,,,,0,0,0,0,2446,0,0,0,0,0,0,2,,1
olinrobotics/irl,1896713,8,15,1,Organization,False,2,9,0,2,,7,0,0,0,0,0,0,88,0,0,619,0,0,0,0,0,0,57,6,
tgut/books,586483,1,1,2,User,False,11,1,0,1,,8,0,0,0,0,0,0,0,0,0,465,1,3,0,0,0,0,10,,0
vania-mendonca/BookFinder,758552,0,3,1,User,False,70,2,0,3,,7,0,0,0,0,0,0,0,0,0,2222,0,0,0,0,0,0,11,,16
Leon555/Books-Programming,761708,5,2,5,User,False,1,1,0,1,,7,0,0,0,0,0,0,0,0,0,1879,0,0,0,0,0,0,40,,9
klmr92/uguu,0,0,0,1,User,False,778,11,0,1,,31,0,27,56,0,0,0,0,0,0,3811,0,0,0,0,0,0,2,,0
K0-0K/book,3508136,8,3,68,Organization,False,25,1,0,1,,7,0,,,,,0,0,0,0,2551,0,0,0,0,0,0,9,,
isislovecruft/library--,1886220,388,37,57,User,False,1974,1,0,2,,7,0,0,0,0,0,0,1,0,0,2306,0,0,0,0,0,0,160,,1
