full_name,size,formats,files,mirror_url,archived,disabled,info
Apoorvag2597/Mobile_ICP7,127,"{'gitignore': 2, 'ser': 1, 'xml': 14, 'gradle': 3, 'pro': 1, 'java': 4, 'png': 10, 'properties': 2, 'jar': 1, '': 1, 'bat': 1, 'md': 1}",41,,False,False,
1emreaydin/explorePageAndroid,2520,"{'': 2, 'xml': 31, 'md': 1, 'png': 12, 'java': 24, 'jpg': 6}",76,,False,False,
zorozhang/qc-fc-center,93,"{'': 2, 'jar': 1, 'properties': 1, 'cmd': 1, 'xml': 4, 'java': 17, 'yml': 2}",28,,False,False,
youzipipan/Card,71,"{'': 1, 'xml': 1, 'java': 26, 'properties': 1}",29,,False,False,
fanruikang/AndroidDevelop,274,"{'': 2, 'xml': 36, 'gradle': 3, 'properties': 2, 'jar': 1, 'bat': 1, 'gitignore': 1, 'pro': 1, 'java': 20, 'png': 17}",84,,False,False,
MasaadAlOtaibi/Array-of-objects,2,"{'': 1, 'classpath': 1, 'gitignore': 1, 'project': 1, 'prefs': 1, 'java': 1, 'md': 1}",7,,False,False,
LiuWillow/Common-util,,,,,,,Not Found
Manishrawat56/JavaSampleExample,9,"{'classpath': 1, 'project': 1, 'prefs': 1, 'class': 5, 'java': 5}",13,,False,False,
rpetito/PocJersey,21,"{'xml': 11, 'iml': 1, 'java': 10, 'class': 10}",32,,False,False,
loqum/log4java,4,"{'': 2, 'prefs': 3, 'xml': 2, 'java': 1, 'properties': 3, 'MF': 1, 'class': 1}",13,,False,False,
jvillste/jogl,117653,"{'': 36, 'launch': 2, 'txt': 49, 'html': 90, 'pdf': 9, 'log': 7, '1': 1, '0': 1, 'svg': 2, 'css': 2, 'png': 92, 'diagram': 2, 'session': 2, 'prj': 1, 'xml': 27, 'cfg': 69, 'jogl': 1, 'bat': 17, 'sh': 96, 'jnlp': 16, 'iml': 3, 'java': 1334, 'c': 85, 'properties': 2, 'vcproj': 4, 'sln': 1, 'suo': 1, 'zip': 1, 'jar': 15, 'awk': 1, 'h': 338, 'gitignore': 3, 'glsl': 27, 'vp': 29, 'fp': 27, 'ttf': 20, 'bfp': 2, 'bvp': 2, 'cpp': 1, 'm': 7, 'gp': 2, 'tcp': 1, 'tep': 1, 'tga': 3, 'jpg': 30, 'dds': 3, 'hint': 1, 'mf': 1, 'gif': 1}",2468,,False,False,
SleePokeR666/textManipulator,84,"{'': 1, 'md': 1, 'xml': 2, 'java': 19, 'txt': 5}",28,,False,False,
rapsealk/GeneticAlgorithm,9645,"{'': 1, 'sln': 1, 'vcxproj': 1, 'filters': 1, 'user': 1, 'log': 1, 'lastbuildstate': 1, 'tlog': 6, 'obj': 1, 'idb': 1, 'pdb': 1, 'cc': 1, 'md': 1, 'pptx': 1, 'java': 4}",23,,False,False,
yujintao529/DMLogger,167,"{'': 3, 'md': 1, 'gitignore': 2, 'gradle': 5, 'pro': 2, 'kt': 2, 'xml': 11, 'java': 23, 'png': 10, 'properties': 3, 'jar': 1, 'bat': 1, 'gpg': 1}",65,,False,False,
ymxiong/EamonUtils,198,"{'': 2, 'md': 2, 'xml': 5, 'java': 37, 'Processor': 2, 'png': 2, 'properties': 2}",52,,False,False,
Zgorbell/BusinessCardReader,149,"{'': 2, 'xml': 17, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'kt': 5, 'java': 9, 'png': 10, 'properties': 2, 'jar': 1, 'bat': 1}",52,,False,False,
snjini/Building,,,,,,,Not Found
RostenRoss/Ejercicios_111MilProgramadores_PilasYColas-StacksAndQueues,,,,,,,Not Found
mariogonzcardona/AutomatizacionUni,41,"{'': 1, 'xml': 5, 'java': 15, 'png': 10, 'netbeans_automatic_build': 2, 'class': 12, 'lst': 2}",47,,False,False,
umakantdubey/Menus-App,250,"{'': 3, 'ser': 1, 'xml': 14, 'zip': 1, 'gitignore': 1, 'gradle': 3, 'pro': 1, 'java': 3, 'png': 10, 'properties': 2, 'jar': 1, 'bat': 1}",41,,False,False,
sequoyaXD/SmallCom,8326,"{'': 1, 'java': 69, 'txt': 4, 'DS_Store': 7, 'xml': 1, 'properties': 3, 'jsp': 2}",87,,False,False,
kuldeeppatel2210/template,1482,"{'': 4, 'iml': 2, 'DS_Store': 36, 'gradle': 3, 'xml': 111, 'aidl': 1, 'json': 2, 'ttf': 2, 'java': 205, 'png': 157, 'jpg': 2, 'properties': 3, 'bat': 1}",529,,False,False,
mbilgidhis/kalkulator,,,,,,,Not Found
HMSS1/sistemas-operacionais,,,,,,,Not Found
ajinathkumbhar/iot-fw,52027,"{'md': 7, '': 6, 'pdf': 31, 'xlsx': 1, 'zip': 1, 'JPG': 1, 'sh': 3, 'c': 6, 'gitignore': 2, 'LICENSE': 1, 'gradle': 4, 'xml': 10, 'java': 24, 'png': 5, 'pro': 1, 'jar': 2, 'properties': 1, 'txt': 3, 'apk': 1, 'cpp': 6, 'h': 10, 'ino': 2, 'mk': 2, 'old': 1, 'img': 1}",132,,False,False,
sainik313/E-Voting-System,1341,"{'java': 1, 'jpg': 9, 'png': 4, 'JPG': 4, 'md': 1}",19,,False,False,
evan1533/PlanetaryDefense,433,"{'': 3, 'prefs': 1, 'java': 30, 'class': 32, 'txt': 23, 'cur': 2, 'png': 10, 'TXT': 1, 'TTF': 4}",106,,False,False,
